country_id, country_name, city_id,  city_name,parent_city_id
234,        Uzbekistan,   263947460, Sherobod, 0
234,        Uzbekistan,   263947067, Shofirkon, 0
234,        Uzbekistan,   263947462, Sho'rchi, 0
234,        Uzbekistan,   263947287, Shovot, 0
234,        Uzbekistan,   263947206, Shumanay, 0
234,        Uzbekistan,   263947426, Sirdaryo, 0
234,        Uzbekistan,   263947101, So’x, 0
234,        Uzbekistan,   228171787, Tashkent, 0
234,        Uzbekistan,   263947208, Taxtako'pir, 0
234,        Uzbekistan,   263947464, Termiz, 0
234,        Uzbekistan,   263947373, Tomdi, 0
234,        Uzbekistan,   263947349, To'raqo'rg'on, 0
234,        Uzbekistan,   263947210, To'rtko'l, 0
234,        Uzbekistan,   263947103, Toshloq, 0
234,        Uzbekistan,   263947405, Toyloq, 0
234,        Uzbekistan,   263947108, Uchko'prik, 0
234,        Uzbekistan,   263947351, Uchqo'rg'on, 0
234,        Uzbekistan,   263947376, Uchquduq, 0
234,        Uzbekistan,   263947045, Ulug'nor, 0
234,        Uzbekistan,   263947299, Urganch, 0
234,        Uzbekistan,   263947407, Urgut, 0
234,        Uzbekistan,   263947248, Usmon Yusupov, 0
234,        Uzbekistan,   263947353, Uychi, 0
234,        Uzbekistan,   263947466, Uzun, 0
234,        Uzbekistan,   263947069, Vobkent, 0
234,        Uzbekistan,   263947378, Xatirchi, 0
234,        Uzbekistan,   263947311, Xiva, 0
234,        Uzbekistan,   263947047, Xo'jaobod, 0
234,        Uzbekistan,   263947212, Xo'jayli, 0
234,        Uzbekistan,   263947319, Xonqa, 0
234,        Uzbekistan,   263947428, Xovos, 0
234,        Uzbekistan,   263947250, Yakkabog', 0
234,        Uzbekistan,   263947327, Yangiariq, 0
234,        Uzbekistan,   263947329, Yangibozor, 0
234,        Uzbekistan,   263947133, Yangiobod, 0
234,        Uzbekistan,   263947355, Yangiqo'rg'on, 0
234,        Uzbekistan,   263947505, Yangiyo'l, 0
234,        Uzbekistan,   263947110, Yozyovon, 0
234,        Uzbekistan,   263947507, Yuqorichirchiq, 0
234,        Uzbekistan,   263947135, Zafarobod, 0
234,        Uzbekistan,   263947509, Zangiota, 0
234,        Uzbekistan,   501057523, Zarafshan, 0
234,        Uzbekistan,   263947138, Zarbdor, 0
234,        Uzbekistan,   263947144, Zomin, 0
234,        Uzbekistan,   1216494666, Bektemir tumani, 228171787
234,        Uzbekistan,   1216494667, Chilanzar tumani, 228171787
234,        Uzbekistan,   1216494668, Mirobod Tumani, 228171787
234,        Uzbekistan,   1216494669, Mirzo Ulugbek tumani, 228171787
234,        Uzbekistan,   1216494670, Olmazor tumani, 228171787
234,        Uzbekistan,   1216494671, Sirgali tumani, 228171787
